67,6600,87630.053380,-2113.855136,-85495.917070,988.399086,-364.639039,-626.604870,87383.568331,-5454.103585,-81824.049725,-962.644999,366.433624,591.432378
68,6700,86243.100524,1058.048600,-87044.108457,983.022504,-328.563136,-654.364223,85942.567708,-2376.933445,-83671.157414,-957.370112,340.811042,615.288669
69,6800,84186.771898,4181.719165,-88721.545556,976.110511,-299.793656,-674.785931,84518.778980,488.484595,-85041.211549,-951.543274,308.205928,645.483045
70,6900,82561.799860,7218.441429,-90071.971953,969.102667,-273.946765,-699.030314,82834.008052,3885.133927,-86763.500764,-945.447258,279.401221,661.949163
71,7000,81011.607743,10293.679201,-91350.869985,957.609988,-243.180326,-721.318510,81170.621552,6981.709217,-87962.550385,-936.929408,251.594808,684.121938
72,7100,78957.400906,13532.236472,-92466.727542,952.365470,-212.900133,-741.763778,79509.294169,9994.855190,-89422.397719,-926.622467,222.042471,708.803367
73,7200,77115.898130,16837.362445,-93746.739631,941.153042,-180.615476,-762.595352,77643.380933,12881.731318,-90497.023500,-919.991629,192.213989,727.181545
74,7300,74927.593850,19738.870980,-94747.741386,928.932244,-149.363811,-779.385506,75644.680603,16184.163061,-91771.734603,-906.248167,161.998213,747.415353
75,7400,72918.051545,22704.960442,-95721.090979,919.392272,-119.623609,-800.977664,73739.122099,19126.013782,-92768.763761,-899.010951,130.612178,766.925806
76,7500,70738.065518,26184.001395,-96367.361276,902.206521,-87.434548,-819.952753,71636.913761,22041.600512,-93610.607882,-884.499919,100.023493,784.999643
77,7600,68352.321391,28868.693691,-97533.503328,890.718898,-57.325702,-837.584782,69458.389914,25018.535837,-94570.382051,-872.940869,71.757778,798.853164
78,7700,66060.301691,31933.803530,-97882.415028,879.967892,-22.248057,-855.407048,67438.326282,27985.478561,-95115.040173,-861.466937,37.887695,819.063857
79,7800,63654.908914,34778.707159,-98857.278391,861.477514,5.996080,-867.875838,65045.984211,30905.083584,-96018.898315,-846.879344,9.165148,832.531205
80,7900,61271.185455,37656.588952,-99138.316778,846.484179,38.573389,-883.508450,62572.753578,33714.816280,-96633.654078,-830.509805,-22.562354,851.533297
81,8000,58673.301936,40662.352801,-99663.116944,827.844746,72.484247,-898.797536,60471.124164,36707.471028,-97104.428039,-812.551995,-50.465419,863.672445
82,8100,56032.292356,43778.619591,-99885.938432,809.351994,100.597017,-909.656260,58026.539596,39733.580298,-97276.148574,-800.590106,-82.083921,876.159328
83,8200,53451.065228,46550.033135,-99563.674950,791.439359,134.155506,-925.796725,55264.395536,42284.973548,-97493.521390,-778.238403,-110.249622,890.871252
84,8300,50763.553580,49046.185487,-99953.530270,771.202246,164.645157,-937.807481,52828.473694,45067.463661,-97812.914084,-757.656577,-142.837166,900.663640
85,8400,48382.811128,51684.278088,-100007.501689,754.059989,194.937603,-948.396448,50301.076645,47741.672647,-97964.114558,-738.806391,-171.439765,912.160348
